chr	start_gene	end_gene	strand_gene	gene_name	ensembl_id	gene_type
chr17	59362665	59363278	+	ENSG00000278863	ENSG00000278863	TEC
chr19	58401504	58431736	+	ZNF584	ENSG00000171574	protein_coding
chr6	156662050	156662437	+	H3P28	ENSG00000220347	processed_pseudogene
chr15	51938025	51971778	-	LEO1	ENSG00000166477	protein_coding
chr8	56445807	56556513	+	PENK-AS1	ENSG00000254254	lncRNA
chr7	155474206	155555450	-	CNPY1	ENSG00000146910	protein_coding
chr8	81617220	81618560	-	NIPA2P4	ENSG00000254151	processed_pseudogene
chr14	75270700	75270780	-	U2	ENSG00000283519	snRNA
chr16	85981750	85984881	+	ENSG00000269667	ENSG00000269667	lncRNA
chr10	30299569	30299673	-	RNU6-598P	ENSG00000200887	snRNA
chr8	142579023	142582888	+	ENSG00000289477	ENSG00000289477	lncRNA
chr3	24096512	24097360	-	NPM1P23	ENSG00000242109	transcribed_processed_pseudogene
chr11	18601882	18602649	+	ENSG00000279837	ENSG00000279837	TEC
chrX	54343546	54343652	+	RNU6-434P	ENSG00000207104	snRNA
chr4	56810422	56810681	+	Metazoa_SRP	ENSG00000278226	misc_RNA
chr1	72636547	72899240	-	ENSG00000225087	ENSG00000225087	lncRNA
chr8	48551527	48556441	-	ENSG00000253688	ENSG00000253688	lncRNA
chr7	65960684	65982215	-	GUSB	ENSG00000169919	protein_coding
chr6	73391038	73391767	-	RPS6P8	ENSG00000224221	processed_pseudogene
chr1	55398514	55398620	+	RNU6-830P	ENSG00000252162	snRNA
chr16	69741871	69754926	-	NOB1	ENSG00000141101	protein_coding
chr9	2919099	2949586	-	ENSG00000291284	ENSG00000291284	lncRNA
chr8	57279543	57286968	+	LINC00588	ENSG00000215117	lncRNA
chr19	10221433	10231331	-	S1PR2	ENSG00000267534	protein_coding
chr6	76774966	77097788	+	ENSG00000271945	ENSG00000271945	lncRNA
chr14	73858061	73858165	-	Y_RNA	ENSG00000223300	misc_RNA
chr20	2101827	2177038	+	STK35	ENSG00000125834	protein_coding
chr19	41506152	41506898	+	TPM3P5	ENSG00000268034	processed_pseudogene
chr16	16309879	16309966	+	MIR3180-2	ENSG00000265373	miRNA
chr7	76361768	76362113	+	PPIAP81	ENSG00000213548	processed_pseudogene
chr16	11881075	11882569	-	ENSG00000261560	ENSG00000261560	lncRNA
chr1	84614068	84621061	-	ENSG00000289881	ENSG00000289881	lncRNA
chr1	164356767	164357364	+	HMGB3P6	ENSG00000213070	processed_pseudogene
chr17	38851524	38851659	-	SNORA21B	ENSG00000252699	snoRNA
chr1	165724293	165827755	-	TMCO1	ENSG00000143183	protein_coding
chr7	425373	439389	+	ENSG00000286710	ENSG00000286710	lncRNA
chr9	38694266	38720133	-	FAM240B	ENSG00000283329	protein_coding
chr17	41565836	41572059	-	KRT9	ENSG00000171403	protein_coding
chr17	40388525	40417896	-	TOP2A	ENSG00000131747	protein_coding
chr13	51803838	51813832	+	ENSG00000231856	ENSG00000231856	lncRNA
chr18	61585746	61607006	-	ENSG00000267279	ENSG00000267279	lncRNA
chr1	211417025	211417934	+	SNX25P1	ENSG00000236809	unprocessed_pseudogene
chr4	12947574	12948670	-	ENSG00000250098	ENSG00000250098	lncRNA
chr17	35097560	35097657	-	Vault	ENSG00000252328	misc_RNA
chr6	164928191	165077495	+	ENSG00000287877	ENSG00000287877	lncRNA
chr5	20967211	21032845	-	ENSG00000286751	ENSG00000286751	lncRNA
chr16	35023339	35023765	+	ENSG00000262885	ENSG00000262885	processed_pseudogene
chr9	111896814	111935369	+	UGCG	ENSG00000148154	protein_coding
chr8	68695643	68695779	+	RNA5SP269	ENSG00000239184	rRNA_pseudogene
chr17	21456513	21460215	-	ENSG00000265043	ENSG00000265043	lncRNA
chr6	169751622	169781600	+	ERMARD	ENSG00000130023	protein_coding
chr2	232782665	232782766	+	RNU6-107P	ENSG00000252452	snRNA
chr8	22977877	22978127	+	RN7SL303P	ENSG00000240116	misc_RNA
chr1	2555639	2565382	+	TNFRSF14	ENSG00000157873	protein_coding
chrX	16123565	16153518	+	GRPR	ENSG00000126010	protein_coding
chr6	30798211	30830659	-	LINC00243	ENSG00000214894	lncRNA
chr19	23597341	23597592	+	RPS27P29	ENSG00000240231	processed_pseudogene
chr8	104981164	104981579	-	ENSG00000243939	ENSG00000243939	processed_pseudogene
chr15	22451209	22455154	+	MPHOSPH10P9	ENSG00000275363	unprocessed_pseudogene
chr1	43974487	43978295	+	ATP6V0B	ENSG00000117410	protein_coding
chr21	32291813	32314784	+	MRAP	ENSG00000170262	protein_coding
chr9	128342153	128342770	+	TMSB4XP4	ENSG00000223551	processed_pseudogene
chr19	15615218	15630639	+	CYP4F8	ENSG00000186526	protein_coding
chr20	57599695	57601200	-	ENSG00000227297	ENSG00000227297	lncRNA
chr6	124962437	125092633	+	RNF217	ENSG00000146373	protein_coding
chr2	31290762	31291604	+	RPL21P70	ENSG00000213620	processed_pseudogene
chr9	76691980	76863307	+	PCA3	ENSG00000225937	lncRNA
chr9	116687305	116701300	+	TRIM32	ENSG00000119401	protein_coding
chr8	62473217	62474269	-	ENSG00000254050	ENSG00000254050	lncRNA
chr10	27783846	27784053	-	RN7SKP132	ENSG00000251810	misc_RNA
chr12	114080381	114113489	+	ENSG00000257997	ENSG00000257997	lncRNA
chr7	76978617	77004308	+	DTX2P1	ENSG00000186704	transcribed_unprocessed_pseudogene
chrX	27807990	27823014	+	MAGEB10	ENSG00000177689	protein_coding
chr19	71778	72718	+	ENSG00000282807	ENSG00000282807	lncRNA
chr1	149475045	149556361	+	NBPF19	ENSG00000271383	protein_coding
chr7	33379964	33380886	+	ENSG00000238090	ENSG00000238090	processed_pseudogene
chr19	51379909	51387974	-	LIM2	ENSG00000105370	protein_coding
chr13	27819376	27917298	-	PLUT	ENSG00000247381	lncRNA
chr20	34088309	34112243	-	EIF2S2	ENSG00000125977	protein_coding
chr19	3521248	3521320	-	ENSG00000252408	ENSG00000252408	snoRNA
chr14	67652300	67652614	-	COX7A2P1	ENSG00000258626	processed_pseudogene
chr1	220690363	220699153	+	C1orf115	ENSG00000162817	protein_coding
chr19	12373609	12373731	+	RPS29P23	ENSG00000231361	processed_pseudogene
chr7	92200014	92206857	-	ENSG00000243107	ENSG00000243107	lncRNA
chr2	102037963	102058190	+	ENSG00000287771	ENSG00000287771	lncRNA
chr20	3208868	3223870	+	ITPA	ENSG00000125877	protein_coding
chr9	121279863	121282730	-	ENSG00000239593	ENSG00000239593	lncRNA
chr10	101784443	101818465	-	OGA	ENSG00000198408	protein_coding
chrX	52369021	52375680	+	XAGE2	ENSG00000155622	protein_coding
chr7	149714781	149734575	+	KRBA1	ENSG00000133619	protein_coding
chr10	92878092	92878289	-	ENSG00000225118	ENSG00000225118	processed_pseudogene
chr1	8883427	8883533	-	RNU6-304P	ENSG00000201725	snRNA
chr11	77829654	77872262	-	ENSG00000254459	ENSG00000254459	lncRNA
chr4	100395341	100880126	-	EMCN	ENSG00000164035	protein_coding
chr15	44827060	44861850	-	SORD2P	ENSG00000259479	transcribed_unprocessed_pseudogene
chr4	149956208	149958572	+	ENSG00000250704	ENSG00000250704	lncRNA
chr3	183015218	183116075	-	MCCC1	ENSG00000078070	protein_coding
chr2	105363038	105378839	+	ENSG00000238273	ENSG00000238273	lncRNA
chr9	137450026	137450086	-	MIR7114	ENSG00000284317	miRNA
chr10	75023475	75024251	-	ENSG00000227186	ENSG00000227186	lncRNA
chr19	49009906	49009972	+	MIR6798	ENSG00000273898	miRNA
chr11	6201901	6203253	-	ENSG00000267940	ENSG00000267940	lncRNA
chr1	2425980	2505532	+	PLCH2	ENSG00000149527	protein_coding
chr8	55879835	56014169	+	LYN	ENSG00000254087	protein_coding
chr11	60088261	60098467	+	MS4A2	ENSG00000149534	protein_coding
chr3	119969044	120068204	-	ENSG00000288662	ENSG00000288662	lncRNA
chr1	120723912	120794851	+	NOTCH2NLR	ENSG00000286106	protein_coding
chr9	92027498	92027824	+	HSPE1P22	ENSG00000237306	processed_pseudogene
chr13	19560013	19561269	-	ESRRAP1	ENSG00000215572	processed_pseudogene
chr6	127288712	127343609	-	ECHDC1	ENSG00000093144	protein_coding
chr14	21351476	21384019	-	SUPT16H	ENSG00000092201	protein_coding
chr19	2252252	2269759	-	JSRP1	ENSG00000167476	protein_coding
chr3	50267558	50277546	+	SEMA3B	ENSG00000012171	protein_coding
chr11	89863848	89865550	-	ANKRD33BP8	ENSG00000254558	unprocessed_pseudogene
chrX	53556223	53556341	-	MIR98	ENSG00000271886	miRNA
chr1	209744373	209745214	+	ADORA2BP1	ENSG00000236136	processed_pseudogene
chr16	20780193	20900349	-	ERI2	ENSG00000196678	protein_coding
chr8	75026428	75029460	-	ENSG00000254238	ENSG00000254238	lncRNA
chr6	32948613	32969094	-	HLA-DMA	ENSG00000204257	protein_coding
chr5	57172842	57173594	-	ENSG00000289152	ENSG00000289152	lncRNA
chr5	43495073	43496454	-	EEF1A1P19	ENSG00000249855	processed_pseudogene
chr2	10690344	10692099	+	RN7SL832P	ENSG00000243819	lncRNA
chr5	150930456	150946598	-	ZNF300P1	ENSG00000291115	lncRNA
chr19	28869507	28879176	+	ENSG00000267617	ENSG00000267617	lncRNA
chr22	21031354	21044117	+	ENSG00000226872	ENSG00000226872	lncRNA
chr3	143503275	143504273	-	GAPDHP47	ENSG00000243033	processed_pseudogene
chr20	5068232	5113103	-	TMEM230	ENSG00000089063	protein_coding
chr11	122115340	122116215	-	BLID	ENSG00000259571	protein_coding
chr2	189770267	189784364	-	ORMDL1	ENSG00000128699	protein_coding
chr19	48547637	48597238	-	ENSG00000287603	ENSG00000287603	lncRNA
chr5	176036593	176043005	+	ENSG00000250992	ENSG00000250992	lncRNA
chr3	125712139	125713045	+	OR7E29P	ENSG00000243429	unprocessed_pseudogene
chr10	72367340	72626131	-	MICU1	ENSG00000107745	protein_coding
chr12	8819816	8820713	-	A2ML1-AS2	ENSG00000256904	lncRNA
chr6	17224243	17281424	-	ENSG00000287559	ENSG00000287559	lncRNA
chr17	21519514	21521269	+	ENSG00000265265	ENSG00000265265	lncRNA
chr19	54696604	54700905	+	LILRP1	ENSG00000186152	unprocessed_pseudogene
chr9	112988129	113012192	-	ZNF883	ENSG00000228623	protein_coding
chr3	44915257	44976185	-	ZDHHC3	ENSG00000163812	protein_coding
chr15	79209788	79209871	+	MIR184	ENSG00000207695	miRNA
chr21	10397644	10397778	+	ENSG00000278106	ENSG00000278106	unprocessed_pseudogene
chr5	147559994	147694827	+	JAKMIP2-AS1	ENSG00000280780	lncRNA
chr17	7235029	7239722	-	PHF23	ENSG00000040633	protein_coding
chrX	73831145	73831270	-	ENSG00000277577	ENSG00000277577	misc_RNA
chr20	52858338	52862855	-	ENSG00000232286	ENSG00000232286	lncRNA
chr19	49719498	49720081	-	ENSG00000243829	ENSG00000243829	processed_pseudogene
chr18	6784614	6796503	-	ENSG00000287834	ENSG00000287834	lncRNA
chr2	200488958	200519784	-	KCTD18	ENSG00000155729	protein_coding
chr12	47661249	47706030	-	RPAP3	ENSG00000005175	protein_coding
chr2	9423651	9473101	+	CPSF3	ENSG00000119203	protein_coding
chr11	118193725	118225092	-	JAML	ENSG00000160593	protein_coding
chr5	88382772	88382907	+	SNORA70	ENSG00000206958	snoRNA
chr20	31257664	31259632	+	DEFB115	ENSG00000215547	protein_coding
chr6	44551577	44553281	+	ENSG00000279076	ENSG00000279076	TEC
chr17	50475819	50478391	+	ENSG00000275897	ENSG00000275897	lncRNA
chr7	64971772	65006684	-	ZNF117	ENSG00000152926	protein_coding
chr14	36516392	36521149	-	NKX2-1	ENSG00000136352	protein_coding
chr11	67627938	67629937	-	NUDT8	ENSG00000167799	protein_coding
chr10	80040621	80041044	-	C1DP4	ENSG00000227515	processed_pseudogene
chr15	84669538	84716460	-	SEC11A	ENSG00000140612	protein_coding
chr1	240998451	240998794	-	ENSG00000238085	ENSG00000238085	processed_pseudogene
chr11	133360029	133366080	-	OPCML-IT1	ENSG00000254896	lncRNA
chr11	57037534	57038436	+	OR5AK4P	ENSG00000283307	unprocessed_pseudogene
chr6	122996235	123072925	+	CLVS2	ENSG00000146352	protein_coding
chr11	134331988	134378341	+	GLB1L2	ENSG00000149328	protein_coding
chr10	124867510	124868326	+	NPM1P31	ENSG00000214807	processed_pseudogene
chr13	48037726	48047221	+	NUDT15	ENSG00000136159	protein_coding
chr18	52409042	52409257	+	ENSG00000280098	ENSG00000280098	TEC
chr13	68634190	68634486	+	RPS3AP52	ENSG00000230405	processed_pseudogene
chr2	205756469	205764006	-	ENSG00000225216	ENSG00000225216	lncRNA
chr8	46549089	46550802	+	HSPA8P13	ENSG00000253425	unprocessed_pseudogene
chr6	4610539	4611919	+	KU-MEL-3	ENSG00000205444	lncRNA
chr1	108661533	108666246	+	ENSG00000285923	ENSG00000285923	lncRNA
chr13	30418339	30422251	-	LINC01058	ENSG00000225039	lncRNA
chr5	112192020	112210139	+	ENSG00000251187	ENSG00000251187	lncRNA
chrX	73237647	73238709	-	LRRFIP2P1	ENSG00000237014	processed_pseudogene
chr1	2212523	2220738	+	ENSG00000234396	ENSG00000234396	lncRNA
chr14	101948309	101949568	+	ENSG00000271780	ENSG00000271780	lncRNA
chr1	198638457	198757476	+	PTPRC	ENSG00000081237	protein_coding
chr21	19130523	19134423	+	ENSG00000229289	ENSG00000229289	lncRNA
chr11	86727355	86765467	+	ENSG00000255250	ENSG00000255250	lncRNA
chr4	757022	757740	-	ENSG00000272588	ENSG00000272588	lncRNA
chr14	103279223	103279955	+	RAP2CP1	ENSG00000270938	transcribed_processed_pseudogene
chr14	19268853	19337730	-	DUXAP10	ENSG00000244306	transcribed_processed_pseudogene
chr3	126624792	126626061	+	METTL5P2	ENSG00000248557	processed_pseudogene
chr16	88708956	88710437	-	ENSG00000278341	ENSG00000278341	lncRNA
chr9	19926094	19929937	+	ENSG00000261402	ENSG00000261402	lncRNA
chr17	74579365	74592283	-	CD300LD	ENSG00000204345	protein_coding
chr2	96875882	96986580	-	FAM178B	ENSG00000168754	protein_coding
chr12	21536107	21604847	-	GYS2	ENSG00000111713	protein_coding
chr5	40967505	40967763	-	ENSG00000248120	ENSG00000248120	processed_pseudogene
chr18	54412763	54424632	+	CUPIN1P	ENSG00000283613	unitary_pseudogene
chr22	42079691	42084284	+	SMDT1	ENSG00000183172	protein_coding
chr1	41478775	41484683	-	EDN2	ENSG00000127129	protein_coding
chr9	94603133	94640249	-	FBP1	ENSG00000165140	protein_coding
chr21	29657406	29657831	+	ENSG00000273464	ENSG00000273464	lncRNA
chr7	100397577	100434107	+	ENSG00000289690	ENSG00000289690	protein_coding
chr5	150485818	150558211	+	NDST1	ENSG00000070614	protein_coding
chr6	35765908	35766927	+	ENSG00000220734	ENSG00000220734	processed_pseudogene
chr17	7404874	7419860	+	NLGN2	ENSG00000169992	protein_coding
chr7	2679522	2775500	+	AMZ1	ENSG00000174945	protein_coding
chr16	30985207	30989147	+	HSD3B7	ENSG00000099377	protein_coding
chr1	154259727	154259862	+	SNORA58B	ENSG00000201129	snoRNA
chr2	189762704	189765556	+	OSGEPL1-AS1	ENSG00000253559	lncRNA
chr19	18929201	18941261	-	HOMER3	ENSG00000051128	protein_coding
chr12	59322745	59436874	+	ENSG00000286279	ENSG00000286279	lncRNA
chr17	48690481	48690624	-	ENSG00000244559	ENSG00000244559	processed_pseudogene
chr2	43229573	43233394	+	ENSG00000234936	ENSG00000234936	lncRNA
chr19	55836540	55881855	+	NLRP4	ENSG00000160505	protein_coding
chr3	64071807	64072019	-	U3	ENSG00000200222	snoRNA
chr7	93969442	94011113	+	BET1-AS1	ENSG00000236861	lncRNA
chr4	123861860	123862015	-	ENSG00000250458	ENSG00000250458	processed_pseudogene
chr10	103027336	103027498	+	ENSG00000278498	ENSG00000278498	misc_RNA
chr8	26504701	26514092	-	PNMA2	ENSG00000240694	protein_coding
chr7	34750253	34752053	-	NCAPD2P1	ENSG00000230356	processed_pseudogene
chr20	43304555	43304679	+	ENSG00000252193	ENSG00000252193	scaRNA
chrX	48301550	48306179	-	SSX9P	ENSG00000290708	lncRNA
chr5	36876769	37066413	+	NIPBL	ENSG00000164190	protein_coding
chr19	36534774	36605276	-	ZNF529	ENSG00000186020	protein_coding
chr10	48684873	48982956	+	WDFY4	ENSG00000128815	protein_coding
chr8	85762909	85766931	-	REXO1L9P	ENSG00000271381	processed_pseudogene
chr8	12580287	12581063	+	ENSG00000255122	ENSG00000255122	processed_pseudogene
chr7	25118656	25125260	-	CYCS	ENSG00000172115	protein_coding
chr12	5290480	5383653	+	ENSG00000256417	ENSG00000256417	lncRNA
chr9	13738537	13744191	-	ENSG00000288556	ENSG00000288556	transcribed_processed_pseudogene
chr10	88618223	88618934	-	RPL7P34	ENSG00000237205	processed_pseudogene
chr19	55654146	55674716	+	U2AF2	ENSG00000063244	protein_coding
chrX	11111301	11123086	+	HCCS	ENSG00000004961	protein_coding
chr1	218459265	218525978	+	LINC02869	ENSG00000228208	lncRNA
chr5	109884610	109885423	-	PGAM5P1	ENSG00000253224	processed_pseudogene
chr2	226835581	226999215	+	RHBDD1	ENSG00000144468	protein_coding
chr19	51927147	51948759	+	ZNF613	ENSG00000176024	protein_coding
chr11	72106378	72112780	-	ANAPC15	ENSG00000110200	protein_coding
chr1	19265982	19274194	-	AKR7L	ENSG00000211454	protein_coding
chr16	83899115	83951445	+	MLYCD	ENSG00000103150	protein_coding
chr16	81444808	81711762	+	CMIP	ENSG00000153815	protein_coding
chr22	26422071	26423193	-	ENSG00000230203	ENSG00000230203	processed_pseudogene
chr9	88384902	88389224	-	ENSG00000287769	ENSG00000287769	lncRNA
chr15	36865628	36887052	-	ENSG00000259280	ENSG00000259280	lncRNA
chr1	32286452	32286561	-	Y_RNA	ENSG00000252450	misc_RNA
chr16	23581014	23596316	-	NDUFAB1	ENSG00000004779	protein_coding
chr9	13322806	13323450	-	ENSG00000223672	ENSG00000223672	processed_pseudogene
chr7	26226413	26254709	-	ENSG00000285860	ENSG00000285860	lncRNA
chr4	156686664	156692636	+	ENSG00000248912	ENSG00000248912	lncRNA
chr17	82440912	82450829	-	CYBC1	ENSG00000178927	protein_coding
chr11	75240774	75243704	+	TPBGL	ENSG00000261594	protein_coding
chr1	40436199	40450039	-	ENSG00000284677	ENSG00000284677	lncRNA
chr21	45981770	46005050	+	COL6A1	ENSG00000142156	protein_coding
chr20	57487959	57495366	-	HMGB1P1	ENSG00000124097	protein_coding
chr1	39531838	39558707	-	PPIEL	ENSG00000243970	transcribed_unprocessed_pseudogene
chr12	117141991	117190470	-	FBXO21	ENSG00000135108	protein_coding
chr18	79792726	79816529	+	ENSG00000267780	ENSG00000267780	lncRNA
chr22	39315213	39315307	-	SNORD83A	ENSG00000209482	snoRNA
chr4	112229561	112231596	-	AP1AR-DT	ENSG00000260526	lncRNA
chr4	46734827	46909245	-	COX7B2	ENSG00000170516	protein_coding
chrX	65185018	65187265	-	ENSG00000237971	ENSG00000237971	processed_pseudogene
chr18	21240675	21241371	-	GREB1L-DT	ENSG00000265984	lncRNA
chr1	53062052	53085501	+	PODN	ENSG00000174348	protein_coding
chr18	2990652	2991078	+	SNRPCP4	ENSG00000264186	processed_pseudogene
chr11	77850604	77851511	+	ENSG00000254691	ENSG00000254691	lncRNA
chr19	35443907	35451767	+	FFAR2	ENSG00000126262	protein_coding
chr4	95840093	95841464	+	PDHA2	ENSG00000163114	protein_coding
chr8	141254565	141256817	+	ENSG00000254019	ENSG00000254019	lncRNA
chr19	15664106	15669826	+	CYP4F10P	ENSG00000267241	unprocessed_pseudogene
chr9	71550921	71552648	-	ENSG00000289163	ENSG00000289163	lncRNA
chr9	62897368	62900104	+	FAM88B	ENSG00000170161	lncRNA
chr12	112037599	112037715	-	MIR3657	ENSG00000266370	miRNA
chr3	75413292	75435125	-	FAM86DP	ENSG00000291223	lncRNA
chr9	107458038	107458306	-	HMGN2P32	ENSG00000213558	processed_pseudogene
chr15	42497395	42548786	-	ENSG00000285942	ENSG00000285942	protein_coding
chr17	32492522	32877177	-	MYO1D	ENSG00000176658	protein_coding
chr16	15015828	15016390	-	ENSG00000275910	ENSG00000275910	lncRNA
chr15	53651977	53652123	+	RNU2-53P	ENSG00000252066	snRNA
chr4	56760919	56761485	-	ENSG00000227040	ENSG00000227040	processed_pseudogene
chr16	69118010	69132588	-	DERPC	ENSG00000286140	protein_coding
chr1	151800264	151805419	-	LINGO4	ENSG00000213171	protein_coding
chr10	101912998	101913279	-	Metazoa_SRP	ENSG00000274742	misc_RNA
chr7	102293103	102293187	+	MIR4285	ENSG00000264675	miRNA
chr10	29697935	29698174	+	CKS1BP2	ENSG00000225976	processed_pseudogene
chrX	48306769	48309055	+	ENSG00000234391	ENSG00000234391	processed_pseudogene
chr3	99326377	99326552	-	ARHGEF28P1	ENSG00000240572	processed_pseudogene
chr12	91050491	91058024	-	KERA	ENSG00000139330	protein_coding
chrY	21661926	21674008	+	USP9YP3	ENSG00000237023	unprocessed_pseudogene
chrY	26198331	26208148	-	REREP2Y	ENSG00000235014	unprocessed_pseudogene
chr3	52708444	52770946	-	NEK4	ENSG00000114904	protein_coding
chr17	60019149	60020006	+	ENSG00000287664	ENSG00000287664	lncRNA
chr1	38047314	38119025	+	MIR3659HG	ENSG00000224592	lncRNA
chr2	179399728	179400875	-	RAD52P1	ENSG00000237964	processed_pseudogene
chr3	51894876	51903353	-	IQCF1	ENSG00000173389	protein_coding
chr4	17552117	17552752	-	NACAP5	ENSG00000249488	processed_pseudogene
chr4	9239130	9240722	+	USP17L16P	ENSG00000250231	unprocessed_pseudogene
chr11	5544489	5548540	-	OR52H1	ENSG00000181616	protein_coding
chr4	155459704	155461237	-	MTCO1P9	ENSG00000251223	unprocessed_pseudogene
chr14	103121282	103121644	-	ENSG00000289917	ENSG00000289917	lncRNA
chr17	38800441	38825355	-	CWC25	ENSG00000273559	protein_coding
chrY	26508213	26579690	+	TPTE2P4	ENSG00000215506	unprocessed_pseudogene
chr19	49665142	49673916	+	BCL2L12	ENSG00000126453	protein_coding
chr6	32813767	32838822	-	ENSG00000250264	ENSG00000250264	protein_coding
chr7	64678954	64687393	-	BNIP3P11	ENSG00000271550	processed_pseudogene
chr10	133575122	133576031	-	OR6L1P	ENSG00000233685	unprocessed_pseudogene
chr3	49775285	49775614	+	PHF5AP3	ENSG00000244730	processed_pseudogene
chr21	14918534	14947096	+	ENSG00000235277	ENSG00000235277	lncRNA
chr12	3149797	3151476	+	TSPAN9-IT1	ENSG00000256197	lncRNA
chr10	84173801	84185294	+	GPR15LG	ENSG00000188373	protein_coding
chr11	132525809	132525887	+	U6	ENSG00000283489	snRNA
chr12	101228141	101228876	-	ENSG00000241744	ENSG00000241744	processed_pseudogene
chr5	181007281	181007384	+	RNU6-1036P	ENSG00000206686	snRNA
chr9	112399512	112487204	-	HSDL2-AS1	ENSG00000230185	lncRNA
chr4	10292195	10292708	-	ENSG00000251278	ENSG00000251278	processed_pseudogene
chr22	26390667	26390776	-	RNA5SP495	ENSG00000252267	rRNA_pseudogene
chr1	156985755	156986049	-	RN7SL612P	ENSG00000266160	misc_RNA
chr3	15501439	15504060	+	ENSG00000288077	ENSG00000288077	lncRNA
chr13	19151554	19152307	-	ENSG00000234894	ENSG00000234894	unprocessed_pseudogene
chr3	15450133	15521751	-	COLQ	ENSG00000206561	protein_coding
chr11	45804072	45813016	+	SLC35C1	ENSG00000181830	protein_coding
chr10	10232611	10232712	+	Y_RNA	ENSG00000200849	misc_RNA
chr5	75006713	75007012	-	ENSG00000249157	ENSG00000249157	processed_pseudogene
chr2	38431294	38433573	+	LINC01883	ENSG00000235009	lncRNA
chr20	38955910	38956547	+	ENSG00000274825	ENSG00000274825	lncRNA
chr4	73073376	73258798	-	ANKRD17	ENSG00000132466	protein_coding
chr16	56666730	56668065	-	MT1G	ENSG00000125144	protein_coding
chr16	21233699	21253850	+	ANKS4B	ENSG00000175311	protein_coding
chr16	11275639	11276480	-	PRM2	ENSG00000122304	protein_coding
chr19	27918943	27929370	+	ENSG00000267630	ENSG00000267630	transcribed_unprocessed_pseudogene
chr6	29329626	29331061	-	DDX6P1	ENSG00000230056	processed_pseudogene
chr16	67390691	67390850	-	RNU1-123P	ENSG00000239194	snRNA
chr17	49085511	49086702	+	B4GALNT2P1	ENSG00000248883	unprocessed_pseudogene
chrX	72872025	72943837	-	DMRTC1	ENSG00000269502	protein_coding
chr4	144851572	144874787	+	ENSG00000250406	ENSG00000250406	lncRNA
chr13	72782133	73016461	+	PIBF1	ENSG00000083535	protein_coding
chr1	176367699	176368401	-	MORF4L1P7	ENSG00000225904	processed_pseudogene
chr4	89236383	89307800	-	GPRIN3	ENSG00000185477	protein_coding
chr17	30959564	30959850	+	RN7SL138P	ENSG00000266274	misc_RNA
chr17	62065498	62065955	-	ENSG00000289293	ENSG00000289293	lncRNA
chr7	91107374	91107793	+	PTP4A1P3	ENSG00000226254	processed_pseudogene
chr20	9835556	9873900	+	ENSG00000286470	ENSG00000286470	lncRNA
chr16	12372812	12373899	+	ENSG00000260723	ENSG00000260723	lncRNA
chrX	156020826	156025710	+	WASH6P	ENSG00000182484	protein_coding
chr2	210002565	210022260	+	RPE	ENSG00000197713	protein_coding
chr5	166382305	166382599	+	RPLP0P9	ENSG00000229119	processed_pseudogene
chr18	1362445	1363873	-	ENSG00000265417	ENSG00000265417	processed_pseudogene
chr9	40767870	40806344	+	ENSG00000275390	ENSG00000275390	lncRNA
chr1	53288024	53289706	+	ENSG00000228838	ENSG00000228838	lncRNA
chr8	105546089	106060524	-	ZFPM2-AS1	ENSG00000251003	lncRNA
chr2	189879609	190203484	+	C2orf88	ENSG00000187699	protein_coding
chr1	192316992	192367285	+	RGS21	ENSG00000253148	protein_coding
chr19	35267862	35268080	-	ENSG00000288942	ENSG00000288942	lncRNA
chr10	91906584	91909486	-	FGFBP3	ENSG00000174721	protein_coding
chr10	87659613	87747705	+	PAPSS2	ENSG00000198682	protein_coding
chr3	157230320	157231208	-	PCBP2P4	ENSG00000270981	processed_pseudogene
chr9	129175552	129178261	-	IER5L	ENSG00000188483	protein_coding
chr5	17353910	17354899	+	ENSG00000248223	ENSG00000248223	lncRNA
chr1	119533749	119534746	-	GAPDHP32	ENSG00000226443	processed_pseudogene
chr5	76173629	76174183	-	RAP1BL	ENSG00000254893	translated_processed_pseudogene
chr19	50808145	50812707	-	ENSG00000284711	ENSG00000284711	unitary_pseudogene
chr12	40978744	40979244	+	ENSG00000274682	ENSG00000274682	lncRNA
chr12	74039024	74049981	+	LINC02394	ENSG00000258332	lncRNA
chr12	6723233	6723687	+	ENSG00000270068	ENSG00000270068	lncRNA
chr5	2184710	2184820	+	Y_RNA	ENSG00000201026	misc_RNA
chr11	48985868	48991881	-	TRIM53CP	ENSG00000254764	unprocessed_pseudogene
chr7	123994622	124027659	+	ENSG00000241345	ENSG00000241345	lncRNA
chr2	63840952	63891562	+	UGP2	ENSG00000169764	protein_coding
chr12	43736628	43739189	+	ENSG00000291253	ENSG00000291253	lncRNA
chr10	68260557	68261499	+	KRT19P4	ENSG00000234102	processed_pseudogene
chr1	109090764	109096934	+	TMEM167B	ENSG00000215717	protein_coding
chr7	5526409	5563902	-	ACTB	ENSG00000075624	protein_coding
chr11	93240133	93241168	+	ENSG00000255233	ENSG00000255233	lncRNA
chr14	96992864	96996601	+	ENSG00000280070	ENSG00000280070	TEC
chr12	24583561	24584549	+	KNOP1P1	ENSG00000256852	processed_pseudogene
chr5	172785262	172785424	-	ENSG00000270243	ENSG00000270243	processed_pseudogene
chr16	54847316	54854991	+	ENSG00000286357	ENSG00000286357	lncRNA
chr5	36221055	36221902	+	NADK2-AS1	ENSG00000245711	lncRNA
